State,AqsID,Parameter,Site Name,Site_Param
IA,190170011,OZONE,"Waverly, Airport",190170011_OZONE
IA,190450021,OZONE,"Clinton, Rainbow Park",190450021_OZONE
IA,190450021,PM25,"Clinton, Rainbow Park",190450021_PM25
IA,190851101,OZONE,"Pisgah, Harrison County",190851101_OZONE
IA,191130028,OZONE,KIRKWOOD,191130028_OZONE
IA,191130033,OZONE,COGGON,191130033_OZONE
IA,191471002,OZONE,"Emmetsburg, ILCC",191471002_OZONE
IA,191471002,PM25,"Emmetsburg, ILCC",191471002_PM25
IA,191630014,OZONE,Scott County Park,191630014_OZONE
IA,191690011,OZONE,SLATER,191690011_OZONE
IA,191810022,OZONE,Lake Ahquabi,191810022_OZONE
IA,191530030,OZONE,CARPENTER,191530030_OZONE
IA,191530030,PM25,CARPENTER,191530030_PM25
WI,551330027,OZONE,WAUKESHA - CLEVELAND AVE,551330027_OZONE
WI,551330027,PM25,WAUKESHA - CLEVELAND AVE,551330027_PM25
MN,270495302,OZONE,Stanton,270495302_OZONE
WI,550790010,OZONE,MILWAUKEE 16TH ST,550790010_OZONE
WI,550790010,PM25,MILWAUKEE 16TH ST,550790010_PM25
IA,191032001,PM25,"Iowa City, Hoover School",191032001_PM25
IA,191130040,OZONE,PUBLIC HEALTH,191130040_OZONE
IA,191130040,PM25,PUBLIC HEALTH,191130040_PM25
WI,550630012,OZONE,LACROSSE DOT,550630012_OZONE
WI,550630012,PM25,LACROSSE DOT,550630012_PM25
IA,191138040,PM25,PUBLIC HEALTH 4,191138040_PM25
SD,460290002,PM25,Watertown,460290002_PM25
SD,460290002,PM10,Watertown,460290002_PM10
SD,460110003,OZONE,Research Farm,460110003_OZONE
SD,460110003,PM25,Research Farm,460110003_PM25
SD,460110003,PM10,Research Farm,460110003_PM10
SD,461270001,OZONE,UC1,461270001_OZONE
SD,461270001,PM25,UC1,461270001_PM25
SD,461270001,PM10,UC1,461270001_PM10
CAN,64001,OZONE,Experimental Lakes,000064001_OZONE
MN,270031001,OZONE,East Bethel,270031001_OZONE
MN,270031002,OZONE,Blaine,270031002_OZONE
MN,270031002,PM25,Blaine,270031002_PM25
MN,270031002,PM10,Blaine,270031002_PM10
MN,270750005,OZONE,Ely,270750005_OZONE
MN,270750005,PM25,Ely,270750005_PM25
MN,271370034,OZONE,Voyageurs NP,271370034_OZONE
WI,550090026,OZONE,GREEN BAY UW,550090026_OZONE
WI,550210015,OZONE,COLUMBUS,550210015_OZONE
WI,550250041,OZONE,MADISON EAST,550250041_OZONE
WI,550250041,PM25,MADISON EAST,550250041_PM25
WI,550270001,OZONE,Horicon Wildlife Area,550270001_OZONE
WI,550270001,PM25,Horicon Wildlife Area,550270001_PM25
WI,550270001,PM10,Horicon Wildlife Area,550270001_PM10
WI,550290004,OZONE,NEWPORT,550290004_OZONE
WI,550390006,OZONE,FOND DU LAC,550390006_OZONE
WI,550590019,OZONE,CHIWAUKEE,550590019_OZONE
WI,550590019,PM25,CHIWAUKEE,550590019_PM25
WI,550610002,OZONE,KEWAUNEE,550610002_OZONE
WI,550710007,OZONE,MANITOWOC,550710007_OZONE
WI,550730012,OZONE,LAKE DUBAY,550730012_OZONE
WI,550790026,OZONE,MILWAUKEE SER DNR,550790026_OZONE
WI,550790026,PM25,MILWAUKEE SER DNR,550790026_PM25
WI,550790026,PM10,MILWAUKEE SER DNR,550790026_PM10
WI,550790085,OZONE,BAYSIDE,550790085_OZONE
WI,550870009,OZONE,APPLETON AAL,550870009_OZONE
WI,550870009,PM25,APPLETON AAL,550870009_PM25
WI,550890008,OZONE,GRAFTON,550890008_OZONE
WI,550890009,OZONE,HARRINGTON BCH,550890009_OZONE
WI,550890009,PM25,HARRINGTON BCH,550890009_PM25
WI,551170006,OZONE,SHEBOYGAN,551170006_OZONE
WI,551198001,PM25,PERKINSTOWN,551198001_PM25
WI,551250001,OZONE,TROUT LAKE,551250001_OZONE
WI,551270005,OZONE,LAKE GENEVA,551270005_OZONE
MN,270953051,OZONE,Mille Lacs,270953051_OZONE
ND,380171004,OZONE,Fargo NW,380171004_OZONE
ND,380171004,PM25,Fargo NW,380171004_PM25
ND,380171004,PM10,Fargo NW,380171004_PM10
ND,380570004,OZONE,Beulah North,380570004_OZONE
ND,380570004,PM25,Beulah North,380570004_PM25
ND,380570004,PM10,Beulah North,380570004_PM10
WI,550410007,OZONE,POTAWATOMI,550410007_OZONE
WI,550410007,PM25,POTAWATOMI,550410007_PM25
MN,271377550,OZONE,Duluth-WDSE,271377550_OZONE
IA,190130009,PM25,"Waterloo, Water Tower",190130009_PM25
MN,270530962,OZONE,Minneapolis-Near Road,270530962_OZONE
MN,270530962,PM25,Minneapolis-Near Road,270530962_PM25
WI,551050030,OZONE,Beloit-Converse,551050030_OZONE
WI,550030010,OZONE,BAD RIVER TRIBAL SCHOOL - ODANAH,550030010_OZONE
IA,191770006,OZONE,Lake Sugema,191770006_OZONE
IA,191770006,PM25,Lake Sugema,191770006_PM25
WI,550090005,PM25,GREEN BAY E HIGH,550090005_PM25
MN,270353204,OZONE,Brainerd,270353204_OZONE
MN,270353204,PM25,Brainerd,270353204_PM25
ND,380130004,OZONE,Lostwood NWR,380130004_OZONE
ND,380130004,PM25,Lostwood NWR,380130004_PM25
ND,380130004,PM10,Lostwood NWR,380130004_PM10
MN,270052013,OZONE,Detroit Lakes,270052013_OZONE
MN,270052013,PM25,Detroit Lakes,270052013_PM25
WI,551199991,OZONE,Perkinstown,551199991_OZONE
IA,190850007,OZONE,"Pisgah, Forestry Office",190850007_OZONE
ND,380250003,OZONE,Dunn Center,380250003_OZONE
ND,380250003,PM25,Dunn Center,380250003_PM25
ND,380250003,PM10,Dunn Center,380250003_PM10
ND,380530002,OZONE,TRNP-NU,380530002_OZONE
ND,380530002,PM25,TRNP-NU,380530002_PM25
ND,380530002,PM10,TRNP-NU,380530002_PM10
ND,380650002,OZONE,Hannover,380650002_OZONE
ND,380650002,PM25,Hannover,380650002_PM25
ND,380650002,PM10,Hannover,380650002_PM10
WI,551110007,OZONE,Devils Lake,551110007_OZONE
WI,551110007,PM25,Devils Lake,551110007_PM25
WI,551110007,PM10,Devils Lake,551110007_PM10
IA,191630017,PM10,Buffalo,191630017_PM10
IA,190450019,PM25,"Clinton, Chancy Park",190450019_PM25
IA,191630015,OZONE,"Davenport, 10th & Vine",191630015_OZONE
IA,191630015,PM25,"Davenport, 10th & Vine",191630015_PM25
MN,270834210,OZONE,Marshall,270834210_OZONE
MN,270834210,PM25,Marshall,270834210_PM25
CAN,70118,OZONE,Winnipeg_Scotia,000070118_OZONE
CAN,70119,OZONE,Winnipeg_Ellens,000070119_OZONE
CAN,70119,PM10,Winnipeg_Ellens,000070119_PM10
CAN,70203,OZONE,Brandon,000070203_OZONE
CAN,70203,PM25,Brandon,000070203_PM25
CAN,70203,PM10,Brandon,000070203_PM10
ND,380150003,OZONE,Bismarck Residential,380150003_OZONE
ND,380150003,PM25,Bismarck Residential,380150003_PM25
ND,380150003,PM10,Bismarck Residential,380150003_PM10
IA,191630020,PM25,"Davenport, Hayes School",191630020_PM25
WI,550790058,PM25,Milwaukee College Ave,550790058_PM25
WI,551170009,OZONE,Sheboygan-Haven,551170009_OZONE
ND,381050003,OZONE,Williston,381050003_OZONE
ND,381050003,PM25,Williston,381050003_PM25
ND,381050003,PM10,Williston,381050003_PM10
MN,271390505,OZONE,Shakopee,271390505_OZONE
MN,270317810,PM25,Grand Portage,270317810_PM25
MN,270072304,PM25,Red Lake Nation,270072304_PM25
MN,270370480,PM25,Lakeville - Near Road,270370480_PM25
MN,270177417,OZONE,Fond du Lac,270177417_OZONE
MN,270177417,PM25,Fond du Lac,270177417_PM25
WI,551010020,OZONE,Racine-Payne and Dolan,551010020_OZONE
IA,191370002,OZONE,Viking Lake State Park,191370002_OZONE
IA,191370002,PM25,Viking Lake State Park,191370002_PM25
MN,271230871,PM25,St. Paul-Harding H.S.,271230871_PM25
SD,460330132,OZONE,WIND CAVE,460330132_OZONE
SD,460330132,PM25,WIND CAVE,460330132_PM25
SD,460330132,PM10,WIND CAVE,460330132_PM10
SD,460710001,OZONE,Badlands,460710001_OZONE
SD,460710001,PM25,Badlands,460710001_PM25
SD,460710001,PM10,Badlands,460710001_PM10
WI,550350014,OZONE,Eau Claire,550350014_OZONE
WI,550350014,PM25,Eau Claire,550350014_PM25
SD,460650003,PM25,Pierre,460650003_PM25
MN,270370470,PM25,Apple Valley,270370470_PM25
MN,270530963,PM25,Minneapolis-Phillips,270530963_PM25
MN,270530909,PM10,Minneapolis-Lowry Av,270530909_PM10
MN,270530910,PM10,Minneapolis-Pacific St,270530910_PM10
MN,270531909,PM10,Minneapolis - Bottin,270531909_PM10
MN,271713201,OZONE,St. Michael,271713201_OZONE
MN,271713201,PM25,St. Michael,271713201_PM25
MN,271453052,OZONE,St. Cloud,271453052_OZONE
MN,271453052,PM25,St. Cloud,271453052_PM25
MN,271095008,OZONE,Rochester,271095008_OZONE
MN,271095008,PM25,Rochester,271095008_PM25
ND,380070002,OZONE,Theodore Roosevelt NP - Painted Canyon VC,380070002_OZONE
ND,380070002,PM25,Theodore Roosevelt NP - Painted Canyon VC,380070002_PM25
WI,550430009,PM25,Potosi,550430009_PM25
MN,271377554,PM25,West Duluth,271377554_PM25
MN,271636016,OZONE,Marine on St. Croix,271636016_OZONE
SD,460930001,OZONE,Black Hawk,460930001_OZONE
SD,460930001,PM10,Black Hawk,460930001_PM10
SD,461030020,PM25,Credit Union,461030020_PM25
SD,460990008,OZONE,Sioux Falls,460990008_OZONE
SD,460990008,PM25,Sioux Falls,460990008_PM25
SD,460990008,PM10,Sioux Falls,460990008_PM10
MN,271377001,PM25,Virginia,271377001_PM25
MN,270213410,PM25,Leech Lake Nation: Cass Lake,270213410_PM25
MN,271230868,PM10,St. Paul - Downtown,271230868_PM10
WI,550550009,OZONE,Jefferson-Laatsch,550550009_OZONE
IA,191390019,PM25,"Muscatine, High School East Campus",191390019_PM25
WI,550590025,OZONE,Kenosha-Water Tower,550590025_OZONE
CAN,thunder-bay,OZONE,Thunder Bay,thunder-bay_OZONE
CAN,thunder-bay,PM25,Thunder Bay,thunder-bay_PM25
CAN,70119,PM25,winnipeg-ellen-st.,000070119_PM25
CAN,70118,PM25,winnipeg-scotia-st.,000070118_PM25
